token_address,decimals
0x4a1D0c737748305ad12F59157F0c17C2f6f31c8B,18
0x3a27d284f59e36555AC443143818969BbD15a137,18
0x109012EeED07D11c4f156926fe0D6fE2c68b688E,18
0x698a06F9853082AFe4fbc7C1B2232AA0aFA5138a,18
0x2c720daB5968c7cB72De2ccC05248EC938cD398E,18
0x2524503fB5513f275A8e7da0f5a9509a0a75B2Be,9
0x9D87CDA525e73D750fD56DD8796586E2E947003b,18
0xbA7970f10D9f0531941DcEd1dda7ef3016B24e5b,18
0xD6B4865A977825C57B69D1783a7834e71130E87a,9
0x9f91d9f9070b0478Abb5a9918c79B5DD533F672C,9
0xF1af89E15de3C1a7A26D0BC209b71881f3f665d8,9
0xE4D33fC4cA31cc91B1909d741BF9ECbb6A4a2A8b,18
0x0698E14e2E589Cfe37e2b7957597e7B86912B024,9
0x284b59cf2539544559C6EfA11E2795e06D535345,18
0x3D550ae21AFCd71Ef6Ab41CdFD1A954f1152163E,18
0x32353A6C91143bfd6C7d363B546e62a9A2489A20,18
0xD76fC982ad504484F1906357DCBf1662BB2070D0,9
0x57A6DEFDCd85483463ddb6d60F2F20cE72E16426,18
0xEeb0653B7D58cB238e397f0Fd6FF1B41c314CCBD,18
0x89a994ce5730080dF3CbbfCeF77ff21678ECd63b,18
0xA882B16D453E5ed4238d00788c67aB31746F953B,18
0xdf0962988AC506797C92c8C500686912bbE2b6cd,18
0x6Ca427415A5b1D397B7E2541bB32499dCa4d5E72,18
0xEa112d72A146fEB355d0d933383A7f9e556359db,18
0xa6476096e20aa995Bf95d95e312CdE01E65376d9,9
0xB4957f3C85C395410eA1dAC7E7c2FE5E4107b468,18
0x3e2275A5C792106C80E5Fc079b98881C9d2e002b,18
0x48F474c1500c239312B6DBE29A51650F0B8FB314,18
0x7714f320Adca62B149df2579361AfEC729c5FE6A,18
0x8e9C063B1b88785b7c5229a40095019fD9E443f0,18
0x528e813DfCD76481182838dbA2aa1D2e25fF17F8,9
0xfF093e12A4efEEa281482e98218408C9D7fa3c5a,6
0x61B99606Af4E526E6540B3fD9B9C6A5843d1AaB8,18
0xEAFECe436f43Ce529Af2cE8970bBD85fFc34Cc07,18
0x3C2DbFaDA13A2eA53C5f88B4BFB9745600873005,9
0xD4c64f0Fe38ecdaF0Baefd7859E18185a73b9aa3,9
0x61E16b32cf8e9f8E0DB178EAC53AA63a65bf36A3,18
0x8e679dabAD5221049a336f5126d8034F49d00424,18
