ids,Pred,Label,Confidence,Quartile:
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,1,1,0.5379973649978638,1
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,1,1,0.5571548938751221,1
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,1,1,0.9970585107803345,4
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,1,1,0.969122052192688,2
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,1,1,0.988111138343811,3
0x103c3A209da59d3E7C4A89307e66521e081CFDF0,0,1,0.5189310312271118,-1
0x103c3A209da59d3E7C4A89307e66521e081CFDF0,1,1,0.9881958961486816,3
0x103c3A209da59d3E7C4A89307e66521e081CFDF0,1,1,0.9886114001274109,3
0x103c3A209da59d3E7C4A89307e66521e081CFDF0,1,1,0.9898678064346313,3
0x103c3A209da59d3E7C4A89307e66521e081CFDF0,1,1,0.9885257482528687,3
0xca1207647Ff814039530D7d35df0e1Dd2e91Fa84,0,1,0.5131320953369141,-1
0xca1207647Ff814039530D7d35df0e1Dd2e91Fa84,1,1,0.9938697814941406,3
0xca1207647Ff814039530D7d35df0e1Dd2e91Fa84,1,1,0.9971216320991516,4
0xca1207647Ff814039530D7d35df0e1Dd2e91Fa84,1,1,0.9968454241752625,4
0xca1207647Ff814039530D7d35df0e1Dd2e91Fa84,1,1,0.9968454241752625,4
0xE9A95d175a5f4C9369f3b74222402eB1b837693b,1,1,0.9957439303398132,4
0xE9A95d175a5f4C9369f3b74222402eB1b837693b,1,1,0.9969567060470581,4
0xE9A95d175a5f4C9369f3b74222402eB1b837693b,1,1,0.9969567060470581,4
0xE9A95d175a5f4C9369f3b74222402eB1b837693b,1,1,0.9858139157295227,3
0xE9A95d175a5f4C9369f3b74222402eB1b837693b,1,1,0.9858139157295227,3
0x55a290f08Bb4CAe8DcF1Ea5635A3FCfd4Da60456,1,1,0.9778947234153748,2
0x55a290f08Bb4CAe8DcF1Ea5635A3FCfd4Da60456,1,1,0.9778947234153748,2
0x55a290f08Bb4CAe8DcF1Ea5635A3FCfd4Da60456,1,1,0.9805758595466614,3
0x55a290f08Bb4CAe8DcF1Ea5635A3FCfd4Da60456,1,1,0.9790164828300476,2
0x55a290f08Bb4CAe8DcF1Ea5635A3FCfd4Da60456,1,1,0.9790164828300476,2
0xd31695a1d35E489252CE57b129FD4b1B05E6AcaC,1,1,0.6420403718948364,1
0xd31695a1d35E489252CE57b129FD4b1B05E6AcaC,1,1,0.6420403718948364,1
0xd31695a1d35E489252CE57b129FD4b1B05E6AcaC,1,1,0.9012171030044556,1
0xd31695a1d35E489252CE57b129FD4b1B05E6AcaC,1,1,0.6420403718948364,1
0xd31695a1d35E489252CE57b129FD4b1B05E6AcaC,1,1,0.9830943942070007,3
0x41dBECc1cdC5517C6f76f6a6E836aDbEe2754DE3,1,1,0.9879144430160522,3
0x41dBECc1cdC5517C6f76f6a6E836aDbEe2754DE3,1,1,0.9975985884666443,4
0x41dBECc1cdC5517C6f76f6a6E836aDbEe2754DE3,1,1,0.9972061514854431,4
0x41dBECc1cdC5517C6f76f6a6E836aDbEe2754DE3,1,1,0.9981474876403809,4
0x41dBECc1cdC5517C6f76f6a6E836aDbEe2754DE3,1,1,0.9993921518325806,4
0x9b4e2B4B13d125238Aa0480dD42B4f6fC71b37CC,1,1,0.9180229306221008,1
0x9b4e2B4B13d125238Aa0480dD42B4f6fC71b37CC,1,1,0.9290372133255005,1
0x9b4e2B4B13d125238Aa0480dD42B4f6fC71b37CC,1,1,0.9613650441169739,1
0x9b4e2B4B13d125238Aa0480dD42B4f6fC71b37CC,1,1,0.9613650441169739,1
0x9b4e2B4B13d125238Aa0480dD42B4f6fC71b37CC,1,1,0.9613650441169739,1
0xDaab5E695bb0E8Ce8384ee56BA38fA8290618e52,0,1,0.9316257238388062,-1
0xDaab5E695bb0E8Ce8384ee56BA38fA8290618e52,0,1,0.5073397159576416,-1
0xDaab5E695bb0E8Ce8384ee56BA38fA8290618e52,1,1,0.8909542560577393,1
0xDaab5E695bb0E8Ce8384ee56BA38fA8290618e52,1,1,0.9676991105079651,2
0xDaab5E695bb0E8Ce8384ee56BA38fA8290618e52,1,1,0.9879970550537109,3
0x35A18000230DA775CAc24873d00Ff85BccdeD550,1,1,0.9975804090499878,4
0x35A18000230DA775CAc24873d00Ff85BccdeD550,1,1,0.9716976881027222,2
0x35A18000230DA775CAc24873d00Ff85BccdeD550,1,1,0.9716976881027222,2
0x35A18000230DA775CAc24873d00Ff85BccdeD550,1,1,0.9769862294197083,2
0x35A18000230DA775CAc24873d00Ff85BccdeD550,1,1,0.9769862294197083,2
0x1445739Db0ee1844d62bC4Eb31935FAcC6a075d8,0,0,0.9999511241912842,-3
0x4A364a09cb3d9B316FDe7158fb9d01139e5EC8fa,0,0,0.9999644756317139,-3
0x509E77dCae8dE1F01828D3F910B0a7960b22b0a1,0,0,0.9999671578407288,-3
0x6CEf56CF607DaAFDb3fDf8ffeB444dC7Ed93fF49,0,0,0.9997988343238831,-2
0x3e191a6Ef96f87092FE8dce0d3f01977b08D6aCF,0,0,0.999966025352478,-3
0x9be2506ED76190c1D686403fdf457250339B4337,0,0,0.9998345375061035,-2
0xE239598965528254467a90e4014b86128e3fbAfa,0,0,0.9997820258140564,-2
